Order ID,Order Date,Ship Date,Ship Mode,Segment,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
ORD-1000,2022-04-13,2022-04-16,Second Class,Corporate,Southeast,Furniture,Binders,156.01,8,0.1,45.71
ORD-1001,2022-12-15,2022-12-18,Second Class,Home Office,Midwest,Furniture,Tables,421.87,5,0.0,119.17
ORD-1002,2022-09-28,2022-09-29,Standard Class,Home Office,Midwest,Office Supplies,Binders,280.64,2,0.4,-17.52
ORD-1003,2022-04-17,2022-04-23,Same Day,Home Office,South,Technology,Paper,199.43,9,0.1,39.53
ORD-1004,2022-03-13,2022-03-15,First Class,Corporate,West,Office Supplies,Binders,320.16,3,0.0,103.76
ORD-1005,2022-07-08,2022-07-10,Standard Class,Corporate,South,Furniture,Chairs,25.92,2,0.3,0.49
ORD-1006,2022-01-21,2022-01-26,Second Class,Home Office,South,Furniture,Accessories,88.62,1,0.3,-18.39
ORD-1007,2022-04-13,2022-04-15,Same Day,Consumer,South,Office Supplies,Binders,376.3,8,0.0,81.68
ORD-1008,2022-05-02,2022-05-06,Standard Class,Corporate,Midwest,Office Supplies,Accessories,137.2,3,0.2,15.82
ORD-1009,2022-08-03,2022-08-05,First Class,Consumer,South,Furniture,Paper,307.04,7,0.2,28.07
ORD-1010,2022-11-27,2022-12-02,Standard Class,Consumer,South,Office Supplies,Tables,204.85,1,0.1,44.95
ORD-1011,2022-03-29,2022-03-31,First Class,Corporate,West,Furniture,Accessories,430.31,1,0.3,-2.52
ORD-1012,2022-04-10,2022-04-14,Second Class,Corporate,West,Office Supplies,Phones,477.16,9,0.2,67.9
ORD-1013,2022-12-26,2022-12-27,Same Day,Consumer,South,Office Supplies,Binders,444.11,8,0.2,46.72
ORD-1014,2022-06-01,2022-06-06,Same Day,Consumer,West,Office Supplies,Paper,149.9,3,0.3,-4.47
ORD-1015,2022-05-11,2022-05-12,Same Day,Home Office,West,Furniture,Paper,113.2,6,0.4,-7.95
ORD-1016,2022-05-30,2022-05-31,Second Class,Home Office,South,Office Supplies,Accessories,247.73,3,0.2,20.49
ORD-1017,2022-11-05,2022-11-06,First Class,Corporate,Midwest,Furniture,Tables,23.52,4,0.0,7.99
ORD-1018,2022-09-15,2022-09-18,Second Class,Home Office,South,Furniture,Chairs,32.39,1,0.1,-5.7
ORD-1019,2022-12-10,2022-12-16,Same Day,Home Office,West,Office Supplies,Binders,285.58,5,0.2,28.47
ORD-1020,2022-10-21,2022-10-24,Second Class,Home Office,Midwest,Office Supplies,Paper,269.82,1,0.2,22.2
